id_geografico,nombre,poblacion_total,poblacion_mayor_de_25,ingreso_medio,valor_medio_de_vivienda,educacion,poblacion_blanca,poblacion_afroamericana,poblacion_nativa,poblacion_asiatica,nativo_hawaiano,alguna_otra_etnia,dos_o_mas_etnias,poblacion_hispana_o_latina,ciudad,area_metropolitana
11001009601,"nombre 96.01, Distrito de Columbia, Distrito de Columbia",2567,1496,2942800,31360000,26600,4400,2497,0,0,0,0,500,21,Washington,Washington-Arlington-Alexandria
11001009400,"nombre 94, Distrito de Columbia, Distrito de Columbia",4917,3614,9780400,49800000,152100,71000,3782,0,49,0,19,7800,279,Washington,Washington-Arlington-Alexandria
11001009501,"nombre 95.01, Distrito de Columbia, Distrito de Columbia",7659,3550,4839500,36180000,101400,193300,3469,15,260,507,0,6700,1910,Washington,Washington-Arlington-Alexandria
11001009906,"nombre 99.06, Distrito de Columbia, Distrito de Columbia",1623,1145,4435700,21750000,15900,200,1555,0,8,0,0,2600,32,Washington,Washington-Arlington-Alexandria
11001009907,"nombre 99.07, Distrito de Columbia, Distrito de Columbia",2773,1674,3142600,18530000,18700,0,2761,0,0,0,0,1200,0,Washington,Washington-Arlington-Alexandria
11001009509,"nombre 95.09, Distrito de Columbia, Distrito de Columbia",3314,2280,6479200,37740000,90100,24500,2701,0,0,0,0,7900,289,Washington,Washington-Arlington-Alexandria
11001009803,"nombre 98.03, Distrito de Columbia, Distrito de Columbia",3081,1887,2630600,28280000,14200,0,3064,9,0,0,0,800,0,Washington,Washington-Arlington-Alexandria
11001000300,"nombre 3, Distrito de Columbia, Distrito de Columbia",6374,4243,13300800,88150000,378000,493500,467,0,513,0,0,16400,295,Washington,Washington-Arlington-Alexandria
11001000702,"nombre 7.02, Distrito de Columbia, Distrito de Columbia",3318,3117,7167100,28680000,207900,228300,189,20,319,0,67,9400,871,Washington,Washington-Arlington-Alexandria
11001001804,"nombre 18.04, Distrito de Columbia, Distrito de Columbia",5668,3117,4257900,45090000,107900,25800,3624,0,125,0,0,1400,1647,Washington,Washington-Arlington-Alexandria
11001002301,"nombre 23.01, Distrito de Columbia, Distrito de Columbia",3625,2640,11875000,53800000,122800,89700,1851,0,78,0,30,15300,616,Washington,Washington-Arlington-Alexandria
11001002501,"nombre 66, Distrito de Columbia, Distrito de Columbia",3138,2378,0,66670000,95800,77800,906,0,46,0,11,6400,884,Washington,Washington-Arlington-Alexandria
11001006600,"nombre 66, Distrito de Columbia, Distrito de Columbia",2036,1664,13491100,102230000,146500,165100,48,64,106,0,0,8900,78,Washington,Washington-Arlington-Alexandria
11001004400,"nombre 44, Distrito de Columbia, Distrito de Columbia",4540,4807,16607100,69700000,422600,361100,992,0,263,0,0,19100,328,Washington,Washington-Arlington-Alexandria
11001003500,"nombre 35, Distrito de Columbia, Distrito de Columbia",5539,2425,8781300,54140000,133400,102400,3787,0,291,0,34,8900,314,Washington,Washington-Arlington-Alexandria
11001006700,"nombre 67, Distrito de Columbia, Distrito de Columbia",4375,3522,14005400,78950000,312100,208508,591,0,150,0,16,7200,240,Washington,Washington-Arlington-Alexandria
11001007408,"nombre 74.08, Distrito de Columbia, Distrito de Columbia",3632,2015,2172800,26520000,13600,6300,3376,11,0,0,146,0,47,Washington,Washington-Arlington-Alexandria
11001007502,"nombre 75.02, Distrito de Columbia, Distrito de Columbia",5314,3118,2700300,26480000,41100,4700,5245,0,0,0,0,2200,0,Washington,Washington-Arlington-Alexandria
11001007603,"nombre 76.03, Distrito de Columbia, Distrito de Columbia",4283,3247,4943500,22140000,102200,30800,3583,0,22,0,0,0,370,Washington,Washington-Arlington-Alexandria
